ncm;cest;uf_destino;regime;segmento;base_legal;data_inicio_vigencia;data_fim_vigencia
39269090;1002000;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39269090;1301600;MG;ST;Eq. Brenda · Medicamentos de uso humano e outros produtos farmacêuticos para uso humano ou ve;Lista supervisores 07/2026;2026-06-01;
39269090;1900600;MG;ST;Eq. Brenda · Produtos de papelaria;Lista supervisores 07/2026;2026-06-01;
39269090;2803800;MG;ST;Eq. Brenda · Venda de mercadorias pelo sistema porta a porta;Lista supervisores 07/2026;2026-06-01;
40082100;2804000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40091100;0108700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40091290;0108700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40092190;0108700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40093100;0108700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40094100;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40094100;0108700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40094290;0108700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40103100;0100600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40103100;0100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40103200;0100600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40103400;0100600;MG;ST;Eq. Brenda · Autopeças;Lista supervisores 07/2026;2026-06-01;
40103900;0100600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40169300;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40169300;0100400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40169300;0100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40169300;0109200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
40169990;0100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
42022220;1001200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
45049000;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
48182000;2004500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
48239099;0100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
59090000;0101100;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
68042211;0800300;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
72131000;1004300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73044900;2804000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73063000;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73064000;2804000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73071100;1004600;MG;ST;Eq. Brenda · Materiais de construção e congêneres;Lista supervisores 07/2026;2026-06-01;
73071100;1007000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73071910;2804000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73071920;1004600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73071920;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73071990;1006500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73072200;1004600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73072200;2804000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73072300;1004600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73072900;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73072900;1004600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73079100;1004600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73079900;1004600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73121090;1004400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73121090;1007300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73158200;1200700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73170020;1005700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73170090;1005700;MG;ST;Eq. Brenda · Materiais de construção e congêneres;Lista supervisores 07/2026;2026-06-01;
73181300;1005800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73181400;1005800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73181500;1005800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73181600;1005800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73181900;1005800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73182100;1005800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73182200;1005800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73182200;1006200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73182400;1005800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73182900;1005800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73202010;0102000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73209000;0102000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73259990;0102100;MG;ST;Eq. Brenda · Autopeças;Lista supervisores 07/2026;2026-06-01;
73259990;1006100;MG;ST;Eq. Brenda · Materiais de construção e congêneres;Lista supervisores 07/2026;2026-06-01;
73261900;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73261900;1006200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73269090;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
73269090;1006200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
74111010;1006400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
74121000;1006500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
74122000;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
74122000;1006500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
74152100;1006500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
76090000;0100600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
76090000;1007000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
76169900;1007300;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
82055900;0801000;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
82084000;0801000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
82089000;0801400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84123110;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84123110;0103500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84123110;0109100;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84132000;2804000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84135090;0109200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84136019;0109200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84138100;0103200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84139190;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84139190;0100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84139190;0103500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84141000;0100400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84141000;0103300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84145190;2108800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84145990;2108800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84148019;0103400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84149010;0103500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84149020;2109100;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84149039;0103500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84189900;2101000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84189900;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84195010;0111400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84212990;0100400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84213990;0109500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84243090;2109900;MG;ST;Eq. Brenda · Produtos eletrônicos, eletroeletrônicos e eletrodomésticos;Lista supervisores 07/2026;2026-06-01;
84248129;2804000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84248221;2804000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84248229;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84249090;0111500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84249090;2109900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84249090;2804000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84254200;0104300;MG;ST;Eq. Brenda · Autopeças;Lista supervisores 07/2026;2026-06-01;
84339090;0104501;MG;ST;Eq. Brenda · Autopeças;Lista supervisores 07/2026;2026-06-01;
84714190;2102900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84715010;2103000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84798999;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84798999;0100400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84811000;0104600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84811000;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84812090;0104700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84812090;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84813000;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84814000;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84818021;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84818092;0104800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84818092;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84818093;0104800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84818095;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84818095;0100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84818095;0104800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84818095;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84818097;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84818099;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84819090;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84819090;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84819090;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84821010;0104900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84821090;0104900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84823000;0104900;MG;ST;Eq. Brenda · Autopeças;Lista supervisores 07/2026;2026-06-01;
84831090;0105000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84833029;0105000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84833090;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84834010;0105000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84834090;0105000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84835010;0105000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84835090;0105000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84836090;0105000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84839000;0105000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84842000;0105000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
84842000;0105100;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85016100;0111800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85043111;2103600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85043119;2004000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85043119;2103600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85044021;1200100;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85044029;1200100;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85044040;2103800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85044040;2107800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85044060;1200100;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85045090;1200100;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85078000;2104300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85168010;1200200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85168090;1200200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85168090;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85176259;2105600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85177900;2111000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85299090;2111200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85312000;2111300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85318000;2111300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85318000;2111500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85321000;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85322200;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85354090;1200300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85361000;0106600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85362000;0106700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85363090;1200400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85364100;0106800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85364100;1200400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85364900;0106800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85364900;1200400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85364900;2103600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85365090;0106500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85365090;0106800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85365090;1200400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85369010;1200400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
